bulk_wine_gallons_by_state,still_wines_production,still_wines_taxable_withdrawals_not_over_14_alcohol,still_wines_taxable_withdrawals_over_14_alcohol,still_wines_taxable_withdrawals_cider_3,still_wines_stocks_end_of_month_not_over_14_alcohol,still_wines_stocks_end_of_month_over_14_alcohol,still_wines_stocks_end_of_month_cider,special_natural_wines_vermouth_production,special_natural_wines_vermouth_taxable_withdrawals,special_natural_wines_vermouth_stocks_end_of_month
ARIZONA,84691,5584,3289,0,,,,0,0,
CALIFORNIA,606448660,12644655,439595,15918,,,,4316967,3310052,
COLORADO,231567,123,0,0,,,,0,0,
CONNECTICUT,102785,3271,65,0,,,,0,0,
FLORIDA,2018975,21201,33830,0,,,,16845,0,
GEORGIA,137800,744,0,0,,,,0,0,
IDAHO,469672,815,0,0,,,,0,0,
ILLINOIS,306539,4422,0,0,,,,0,0,
INDIANA,985649,3249,52,0,,,,0,0,
IOWA,199174,272,0,0,,,,0,0,
KANSAS,55048,190,0,0,,,,0,0,
KENTUCKY,2247492,24895,37,0,,,,0,0,
MAINE,37744,0,7,0,,,,0,0,
MARYLAND,313371,0,827,0,,,,0,0,
MASSACHUSETTS,157455,0,0,0,,,,0,0,
MICHIGAN,892793,11891,158,2024,,,,5667,4724,
MINNESOTA,118554,1852,0,0,,,,0,0,
MISSOURI,1095131,7454,0,0,,,,0,0,
MONTANA,26827,0,0,0,,,,0,0,
NEBRASKA,79933,445,0,0,,,,0,0,
NEW JERSEY,1519742,10277,12205,0,,,,0,297,
NEW MEXICO,758626,2280,0,0,,,,0,0,
NEW YORK,25248204,51158,261,0,,,,548823,569874,
NORTH CAROLINA,1201487,4350,0,0,,,,7266,94,
OHIO,1093443,46100,26716,0,,,,5320,6906,
OKLAHOMA,44254,5174,0,0,,,,0,0,
OREGON,4907368,38430,27806,0,,,,0,31,
PENNSYLVANIA,823390,11754,2600,0,,,,40,233,
SOUTH DAKOTA,82490,107,0,0,,,,0,0,
TENNESSEE,259420,2511,26,0,,,,0,0,
TEXAS,998154,19978,416,0,,,,0,0,
VIRGINIA,976052,2828,0,0,,,,0,0,
WASHINGTON,19787791,12174,46588,0,,,,0,0,
WEST VIRGINIA,31710,2116,0,0,,,,0,0,
WISCONSIN,500408,23820,2099,0,,,,0,0,
Others,3248523,16504,65,0,,,,0,0,
Total,677490922,12980624,596642,17942,,,,4900928,3892211,
