bulk_wine_gallons_by_state,special_natural_wines_otherproduction,special_natural_wines_othertaxable_withdrawals,special_natural_wines_otherstocks_end_of_month,effervescent_wines_production,effervescent_wines_taxable_withdrawals_artificially_carbonated_wines,effervescent_wines_taxable_withdrawals_naturally_carbonated_wines,effervescent_wines_stocks_end_of_month
CALIFORNIA,18901902,18684536,,21750366,0,1313,
MICHIGAN,41394,41100,,73388,0,0,
MISSOURI,18719,2777,,15539,0,0,
NEW JERSEY,2545,2675,,23771,0,0,
NEW MEXICO,37932,0,,312886,0,0,
NEW YORK,316966,226061,,1456751,0,0,
NORTH CAROLINA,7290,18,,3450,0,0,
OHIO,5261,5411,,15408,69,0,
OREGON,8084,373,,5667,0,0,
PENNSYLVANIA,2827,1257,,4873,0,145,
WASHINGTON,7151,4932,,602249,0,0,
WISCONSIN,0,0,,663,0,0,
Others,24460,22362,,66573,0,76,
Total,19374531,18991502,,24331584,69,1534,
