bottled_wine_gallons_by_state,still_wines_bottled,still_wines_taxable_withdrawals_not_over_14_alcohol,still_wines_taxable_withdrawals_over_14_alcohol,still_wines_taxable_withdrawals_cider,still_wines_stocks_end_of_month_not_over_14_alcohol,still_wines_stocks_end_of_month_over_14_alcohol,still_wines_stocks_end_of_month_cider,effervescent_wines_bottled,effervescent_wines_taxable_withdrawals_artificially_carbonated_wines,effervescent_wines_taxable_withdrawals_naturally_carbonated_wines,effervescent_wines_stocks_end_of_month
ARIZONA,94698,52118,48384,0,,,,50,564,296,
CALIFORNIA,491467307,315578803,39460940,1303213,,,,21125367,192416,13526276,
COLORADO,243795,171386,64835,275,,,,154,0,46,
CONNECTICUT,120116,108615,11133,1342,,,,1573,932,231,
FLORIDA,1790785,10546996,622482,237145,,,,7646,4487,393617,
GEORGIA,144352,10528284,298891,193738,,,,994,45067,640356,
IDAHO,481103,62270,21303,0,,,,363,0,162,
ILLINOIS,1037225,16665644,593042,126940,,,,3220,49481,891659,
INDIANA,1722786,1632126,27161,580,,,,6862,4309,1842,
IOWA,181798,173942,3151,0,,,,2226,1729,64,
KANSAS,54683,7750123,268871,116444,,,,72,50401,583846,
KENTUCKY,131167,68457,63034,0,,,,4,0,4,
MAINE,37767,30795,4534,1499,,,,345,1195,29,
MARYLAND,335187,283963,35833,265,,,,156,0,112,
MASSACHUSETTS,137590,69728,2773,63596,,,,1886,85,1456,
MICHIGAN,1348342,1262162,16060,48303,,,,70789,14019,48555,
MINNESOTA,101155,93714,4169,70,,,,235,87,29,
MISSOURI,1167528,1100926,21137,9082,,,,23534,11253,5850,
MONTANA,24644,24820,3587,0,,,,0,0,1,
NEBRASKA,94206,83323,189,161,,,,104,24,43,
NEW JERSEY,916438,7105361,212645,2751,,,,25160,12782,189553,
NEW MEXICO,298104,231988,11646,0,,,,277065,23556,230717,
NEW YORK,31969015,25214610,6356754,34272,,,,1446356,3215,1466011,
NORTH CAROLINA,1404835,1344482,51362,0,,,,13382,39,14533,
OHIO,1167423,893249,45024,184272,,,,16149,1747,13123,
OKLAHOMA,50713,49056,167,134,,,,81,67,0,
OREGON,5450645,3742844,761618,49892,,,,68159,12106,36344,
PENNSYLVANIA,2902664,25551858,639182,175507,,,,9187,99977,1424859,
SOUTH DAKOTA,72530,78812,795,45,,,,0,0,0,
TENNESSEE,271997,245490,9275,0,,,,5129,4614,671,
TEXAS,2578892,11771359,472987,137117,,,,966,49681,925316,
VIRGINIA,913856,831073,20486,4106,,,,14972,0,13479,
WASHINGTON,20886711,16072961,1979338,94632,,,,581413,832,592798,
WEST VIRGINIA,42171,35547,783,0,,,,0,0,0,
WISCONSIN,593481,543460,17770,4187,,,,2570,3501,2310,
Others,6524031,1578271,54635,4803133,,,,6498,775,4491,
Total,576759740,461578616,52205976,7592701,,,,23712667,588941,21008679,
