"Bulk
Wine Gallons
By State",Still Wines/Production,"Still Wines/Taxable Withdrawals/Not over
14 % Alcohol","Still Wines/Taxable Withdrawals/over
14 % Alcohol",Still Wines/Taxable Withdrawals/Cider 3/,"Still Wines/Stocks End of Month/Not over
14 % Alcohol",Still Wines/Stocks End of Month/Over 14 % Alcohol,Still Wines/Stocks End of Month/Cider,Special Natural Wines/Vermouth/Production,"Special Natural Wines/Vermouth/Taxable
Withdrawals","Special Natural Wines/Vermouth/Stocks
End of Month"
ARIZONA,"84,691","5,584","3,289",0,,,,0,0,
CALIFORNIA,"606,448,660","12,644,655","439,595","15,918",,,,"4,316,967","3,310,052",
COLORADO,"231,567",123,0,0,,,,0,0,
CONNECTICUT,"102,785","3,271",65,0,,,,0,0,
FLORIDA,"2,018,975","21,201","33,830",0,,,,"16,845",0,
GEORGIA,"137,800",744,0,0,,,,0,0,
IDAHO,"469,672",815,0,0,,,,0,0,
ILLINOIS,"306,539","4,422",0,0,,,,0,0,
INDIANA,"985,649","3,249",52,0,,,,0,0,
IOWA,"199,174",272,0,0,,,,0,0,
KANSAS,"55,048",190,0,0,,,,0,0,
KENTUCKY,"2,247,492","24,895",37,0,,,,0,0,
MAINE,"37,744",0,7,0,,,,0,0,
MARYLAND,"313,371",0,827,0,,,,0,0,
MASSACHUSETTS,"157,455",0,0,0,,,,0,0,
MICHIGAN,"892,793","11,891",158,"2,024",,,,"5,667","4,724",
MINNESOTA,"118,554","1,852",0,0,,,,0,0,
MISSOURI,"1,095,131","7,454",0,0,,,,0,0,
MONTANA,"26,827",0,0,0,,,,0,0,
NEBRASKA,"79,933",445,0,0,,,,0,0,
NEW JERSEY,"1,519,742","10,277","12,205",0,,,,0,297,
NEW MEXICO,"758,626","2,280",0,0,,,,0,0,
NEW YORK,"25,248,204","51,158",261,0,,,,"548,823","569,874",
NORTH CAROLINA,"1,201,487","4,350",0,0,,,,"7,266",94,
OHIO,"1,093,443","46,100","26,716",0,,,,"5,320","6,906",
OKLAHOMA,"44,254","5,174",0,0,,,,0,0,
OREGON,"4,907,368","38,430","27,806",0,,,,0,31,
PENNSYLVANIA,"823,390","11,754","2,600",0,,,,40,233,
SOUTH DAKOTA,"82,490",107,0,0,,,,0,0,
TENNESSEE,"259,420","2,511",26,0,,,,0,0,
TEXAS,"998,154","19,978",416,0,,,,0,0,
VIRGINIA,"976,052","2,828",0,0,,,,0,0,
WASHINGTON,"19,787,791","12,174","46,588",0,,,,0,0,
WEST VIRGINIA,"31,710","2,116",0,0,,,,0,0,
WISCONSIN,"500,408","23,820","2,099",0,,,,0,0,
Others,"3,248,523","16,504",65,0,,,,0,0,
Total,"677,490,922","12,980,624","596,642","17,942",,,,"4,900,928","3,892,211",
