bulk_wine_gallons_by_state,still_wines_production,still_wines_taxable_withdrawalsnot_over_14_alcohol,still_wines_taxable_withdrawalsover_14_alcohol,still_wines_taxable_withdrawals_3_cider,still_wines_stocks_end_of_monthnot_over_14_alcohol,still_wines_stocks_end_of_monthover_14_alcohol,still_wines_stocks_end_of_monthcider,special_natural_wines_vermouth_production,special_natural_wines_vermouth_taxable_withdrawals,special_natural_wines_vermouth_stocks_end_of_month
ALABAMA,12956,0,0,0,,,,0,0,
ARIZONA,66616,617,430,0,,,,0,0,
ARKANSAS,59603,0,0,0,,,,0,0,
CALIFORNIA,605619613,16488252,757877,27072,,,,624035,159010,
COLORADO,284122,1037,348,0,,,,0,0,
CONNECTICUT,136196,342,50,0,,,,0,0,
FLORIDA,1920638,23526,28395,0,,,,11747,165,
GEORGIA,122648,5060,0,0,,,,0,0,
IDAHO,340989,2361,0,0,,,,0,0,
ILLINOIS,336658,2465,12,0,,,,0,0,
INDIANA,1122617,4,58,0,,,,0,0,
IOWA,258953,657,59,0,,,,0,0,
KANSAS,45942,0,0,0,,,,0,0,
KENTUCKY,2196055,32915,12,0,,,,0,0,
LOUISIANA,24029,0,0,0,,,,0,0,
MAINE,50182,0,0,826,,,,0,0,
MARYLAND,351820,40,0,0,,,,0,0,
MASSACHUSETTS,182617,0,0,0,,,,0,0,
MICHIGAN,1540149,20370,4,1212,,,,1132,2932,
MINNESOTA,174853,6695,0,0,,,,0,0,
MISSOURI,1163179,1137,0,0,,,,0,0,
MONTANA,29830,569,291,0,,,,0,0,
NEBRASKA,88087,694,0,0,,,,0,0,
NEW HAMPSHIRE,82264,4154,61,0,,,,0,0,
NEW JERSEY,1507311,2946,17460,0,,,,648,438,
NEW MEXICO,466859,10014,1400,0,,,,0,0,
NEW YORK,25183355,44051,291,85982,,,,551014,591855,
NORTH CAROLINA,1381370,5923,0,0,,,,0,0,
OHIO,1568378,29769,17200,0,,,,4409,4951,
OKLAHOMA,28410,4032,0,0,,,,0,0,
OREGON,5479553,47725,40472,909,,,,0,0,
PENNSYLVANIA,922632,12474,2619,0,,,,0,0,
SOUTH CAROLINA,18658,0,0,0,,,,0,0,
SOUTH DAKOTA,122605,68,0,0,,,,0,0,
TENNESSEE,260828,8482,75,0,,,,0,0,
TEXAS,596337,34581,430,0,,,,0,0,
VERMONT,3356568,4229,0,2000,,,,0,0,
VIRGINIA,1062479,28528,0,0,,,,0,0,
WASHINGTON,24656796,13885,15905,0,,,,0,0,
WEST VIRGINIA,28621,0,0,0,,,,0,0,
WISCONSIN,547084,7843,1069,0,,,,0,0,
Others,224807,8817,67,0,,,,0,0,
Total,683623267,16854262,884585,118001,,,,1192985,759351,
