bulk_wine_gallons_by_state,special_natural_winesother_production,special_natural_winesother_taxable_withdrawals,special_natural_winesother_stocks_end_of_month,effervescent_wines_production,effervescent_wines_taxable_withdrawals_artificially_carbonated_wines,effervescent_wines_taxable_withdrawals_naturally_carbonated_wines,effervescent_wines_stocks_end_of_month
"CALIFORNIA
",28420908,32192724,,23498054,0,50402,
MICHIGAN,68468,57869,,72318,0,0,
MISSOURI,2461,3524,,15603,0,0,
NEW JERSEY,4907,2749,,16332,0,0,
NEW MEXICO,787,787,,307527,0,0,
NEW YORK,25249,221214,,1340080,0,0,
NORTH CAROLINA,36,189,,14068,0,0,
OHIO,6944,5876,,10428,0,0,
"OREGON
",249,0,,60183,0,0,
PENNSYLVANIA,1007,1448,,2943,0,0,
WASHINGTON,6300,4857,,907863,55,0,
WISCONSIN,0,0,,500,0,0,
Others,19551,15751,,59610,360,25,
Total,28556867,32506988,,26305509,415,50427,
