bottled_wine_gallons_by_state,still_wines_bottled,still_wines_taxable_withdrawals_not_over_14_alcohol,still_wines_taxable_withdrawalsover_14_alcohol,still_wines_taxable_withdrawalscider,still_wines_stocks_end_of_month_not_over_14_alcohol,still_wines_stocks_end_of_month_over_14_alcohol,still_wines_stocks_end_of_month_cider,effervescent_wines_bottled,effervescent_wines_taxable_withdrawals_artificially_carbonated_wines,effervescent_wines_taxable_withdrawalsnaturally_carbonated_wines
"ALABAMA
",12632,9769,446,0,,,,252,0,252
ARIZONA,93894,69892,32634,0,,,,1162,1792,482
ARKANSAS,323186,263248,42517,0,,,,36,34,1313
CALIFORNIA,566871006,352079644,42774649,1433439,,,,22889008,609897,14015215
COLORADO,268110,183782,79223,4995,,,,654,526,85
CONNECTICUT,150037,114070,16737,1601,,,,1496,1372,241
FLORIDA,1971449,10797969,558530,277209,,,,7341,4452,442607
GEORGIA,155645,12393494,306436,172090,,,,1492,44135,725964
IDAHO,410117,51836,25082,0,,,,0,0,142
ILLINOIS,933787,18655800,581337,118716,,,,,55318,952232
INDIANA,1806562,1778475,19181,1189,,,,9010,4193,1111
IOWA,232394,220905,3799,129,,,,1528,1465,2
KANSAS,59648,8683300,276647,112455,,,,0,50295,652818
KENTUCKY,188264,99943,62948,0,,,,0,0,0
LOUISIANA,406769,416393,267,0,,,,47,0,19
MAINE,118769,90492,4849,5720,,,,1867,1919,38
MARYLAND,320994,257514,40471,0,,,,1289,0,787
MASSACHUSETTS,160912,77383,3926,84769,,,,3122,56,3673
MICHIGAN,1434183,1297183,16420,55028,,,,84018,9265,55068
MINNESOTA,117551,98355,3933,124,,,,580,155,45
MISSOURI,1138385,1067241,21406,2744,,,,34971,14157,18783
MONTANA,30998,25794,5531,0,,,,0,0,0
NEBRASKA,73668,72379,751,0,,,,144,95,19
NEW HAMPSHIRE,69010,54764,3783,492,,,,0,0,0
NEW JERSEY,1075212,8140094,200425,2395,,,,28240,22502,191816
NEW MEXICO,331510,250550,10113,0,,,,327469,41016,255180
NEW YORK,30422369,23331999,5929952,48423,,,,1325522,6114,1288115
NORTH CAROLINA,1439270,1454640,55034,11245,,,,10771,22,11709
OHIO,1546481,927172,45968,122351,,,,16894,2282,11481
OKLAHOMA,45171,52310,252,195,,,,333,93,0
OREGON,5107475,3788320,858410,111185,,,,65459,11597,40449
PENNSYLVANIA,7283980,31562408,651155,427227,,,,7775,101417,1483182
SOUTH CAROLINA,20364,15831,0,0,,,,0,0,0
SOUTH DAKOTA,95474,87626,2590,45,,,,0,0,0
TENNESSEE,296893,277812,12491,0,,,,6792,5184,497
TEXAS,2598830,12718935,507690,125213,,,,1328,39355,956844
VERMONT,7141292,1177411,1739,5998954,,,,325,27,371
VIRGINIA,986878,964443,27763,3248,,,,12414,0,10007
WASHINGTON,21151147,17452328,2182108,146991,,,,609711,539,507170
WEST VIRGINIA,31954,25587,181,0,,,,0,0,0
WISCONSIN,598063,540654,19982,2540,,,,486,1312,2443
Others,263142,204654,8988,2497,,,,4650,122,4580
Total,657783475,511832399,55396344,9273209,,,,25461676,1030708,21634740
