bulk_wine_gallons_by_state,still_wines_production,still_wines_not_over_14_alcohol,still_wines_over_14_alcohol,still_wines_3_cider,still_wines_stocks_end_of_month_not_over_14_alcohol,still_wines_stocks_end_of_month_over_14_alcohol,still_wines_stocks_end_of_month_cider,special_natural_wines_production,special_natural_wines_taxable_withdrawals,special_natural_wines_stocks_end_of_month
ALABAMA,31312,1153,68,0,,,,0,0,
ARIZONA,181328,6215,5980,0,,,,0,0,
ARKANSAS,157168,0,0,0,,,,0,0,
CALIFORNIA,667552032,21305734,420432,6454,,,,1397984,113458,
COLORADO,344089,1004,0,0,,,,0,0,
CONNECTICUT,122628,0,0,0,,,,0,0,
FLORIDA,1946162,31952,26275,0,,,,5392,0,
GEORGIA,147734,5408,0,0,,,,0,0,
IDAHO,315615,0,885,0,,,,0,0,
ILLINOIS,374088,3650,0,0,,,,0,0,
INDIANA,1069775,6887,4013,0,,,,0,0,
IOWA,243571,848,0,0,,,,0,39,
KANSAS,68504,235,59,0,,,,0,0,
KENTUCKY,2379512,27778,0,15,,,,0,0,
LOUISIANA,30071,0,0,0,,,,0,0,
MAINE,43136,0,0,0,,,,0,0,
MARYLAND,337231,12050,266,0,,,,0,0,
MASSACHUSETTS,268911,3961,0,5169,,,,0,0,
MICHIGAN,1347837,10848,130,2590,,,,12832,5685,
MINNESOTA,154753,4561,0,0,,,,0,0,
MISSOURI,1034917,2190,180,0,,,,0,0,
MONTANA,18375,368,413,0,,,,0,0,
NEBRASKA,81641,769,0,0,,,,0,0,
NEW HAMPSHIRE,89494,4274,30,0,,,,0,0,
NEW JERSEY,1561365,2888,15470,0,,,,0,269,
NEW MEXICO,742873,2211,242,0,,,,0,0,
NEW YORK,26404066,49532,412,0,,,,503624,549463,
NORTH CAROLINA,1215332,5706,0,0,,,,0,0,
OHIO,3048054,37106,22931,0,,,,6028,3821,
OKLAHOMA,48496,3528,0,0,,,,0,0,
OREGON,6829808,61825,29915,863,,,,0,0,
PENNSYLVANIA,3589603,13557,2800,300,,,,0,2538,
SOUTH CAROLINA,19373,0,0,0,,,,0,0,
SOUTH DAKOTA,61609,73,0,0,,,,0,0,
TENNESSEE,296436,2119,26,0,,,,0,0,
TEXAS,1376144,38671,4702,0,,,,0,0,
VERMONT,4205258,3980,0,0,,,,0,0,
VIRGINIA,1033191,216,0,0,,,,0,0,
WASHINGTON,24506226,297651,3881,0,,,,0,0,
WEST VIRGINIA,43879,2623,0,0,,,,0,0,
WISCONSIN,612885,5714,0,0,,,,0,0,
Others,206292,6718,943,0,,,,0,0,
Total,754140774,21964003,540053,15391,,,,1925860,675273,
