bulk_wine_gallons_by_state,special_natural_wines_production,special_natural_wines_taxable_withdrawals,special_natural_wines_stocks_end_of_month,effervescent_wines_production,effervescent_wines_taxable_withdrawals_artificially_carbonated_wines,effervescent_wines_taxable_withdrawals_naturally_carbonated_wines,stocks_end_of_month
CALIFORNIA,27707000,28579938,,22603229,0,878,
MICHIGAN,69456,59392,,89364,0,4251,
MISSOURI,14488,3784,,11191,0,0,
NEW JERSEY,2632,2849,,24663,0,0,
NEW MEXICO,1240,12,,584246,0,0,
NEW YORK,33608,118063,,1154196,0,72,
NORTH CAROLINA,18,16,,9251,0,0,
OHIO,45859,30876,,11730,0,0,
OREGON,9227,157,,15237,0,99,
PENNSYLVANIA,1218,743,,11585,0,0,
WASHINGTON,40069,1441,,399411,177,0,
WISCONSIN,0,0,,906,0,0,
Others,54071,26107,,71252,0,224,
Total,27978886,28823378,,24986261,177,5524,
