bottled_wine_gallons_by_state,still_wines_bottled,still_wines_taxable_withdrawals_not_over_14_alcohol,still_wines_taxable_withdrawals_over_14_alcohol,still_wines_taxable_withdrawals_cider,still_wines_stocks_end_of_month_not_over_14_alcohol,still_wines_stocks_end_of_month_over_14_alcohol,still_wines_stocks_end_of_month_cider,effervescent_wines_bottled,effervescent_wines_taxable_withdrawals_artificially_carbonated_wines,effervescent_wines_taxable_withdrawals_naturally_carbonated_wines,effervescent_wines_taxable_withdrawals_stocks_end_of_month
ALABAMA,27266,31036,227,0,,,,150,0,100,
ARIZONA,91581,68445,46084,0,,,,0,1874,541,
ARKANSAS,298407,258302,39544,0,,,,165,14,0,
CALIFORNIA,521395683,338417063,39597489,2345552,,,,23406433,1020018,14193741,
COLORADO,275097,182517,70383,14224,,,,2536,2447,86,
CONNECTICUT,133860,123459,10581,2031,,,,1241,1183,99,
FLORIDA,1831985,12604392,630848,307938,,,,5013,9637,569467,
GEORGIA,144277,10539408,240156,116213,,,,1456,28792,586148,
IDAHO,425967,79153,31726,0,,,,0,12,215,
ILLINOIS,1147462,18632886,569056,98610,,,,24400,47597,908561,
INDIANA,1706965,1646193,66573,3123,,,,8091,2267,1253,
IOWA,257927,227078,2743,277,,,,2539,2320,55,
KANSAS,54800,8718654,240146,94966,,,,31,47864,619257,
KENTUCKY,195955,122325,59737,0,,,,24,0,17,
LOUISIANA,1155206,1162866,314,0,,,,0,0,23,
MAINE,76767,66056,4742,16231,,,,1702,1659,32,
MARYLAND,361861,299449,43116,0,,,,2226,0,2021,
MASSACHUSETTS,238912,80364,4429,123685,,,,4356,391,3336,
MICHIGAN,1703139,1389272,17146,140984,,,,96443,11931,56454,
MINNESOTA,881355,118053,4366,227,,,,516,317,47,
MISSOURI,1111598,1049542,20368,1109,,,,24912,16207,10322,
MONTANA,30394,27852,2895,135,,,,0,0,9,
NEBRASKA,91350,74410,704,0,,,,425,340,0,
NEW HAMPSHIRE,73819,59311,6482,144,,,,0,0,0,
NEW JERSEY,1034213,7916144,193609,655,,,,21553,11135,213511,
NEW MEXICO,341022,275822,8302,0,,,,352161,44415,286755,
NEW YORK,33606319,24169594,5667401,1071680,,,,1237042,9747,1174538,
NORTH CAROLINA,1411826,1410227,44070,21922,,,,10436,14,11472,
OHIO,3626061,882055,51990,1956425,,,,10859,1786,11899,
OKLAHOMA,58925,58003,213,156,,,,91,235,0,
OREGON,6099101,4608616,548667,232000,,,,77176,13053,37894,
PENNSYLVANIA,9389513,31432463,666110,3731221,,,,8539,110539,1558838,
SOUTH CAROLINA,20113,15360,0,40,,,,0,0,0,
SOUTH DAKOTA,89655,54972,1651,0,,,,0,0,0,
TENNESSEE,335461,300424,10622,9041,,,,6392,5814,306,
TEXAS,2548051,12323695,497252,103204,,,,596,40211,957170,
VERMONT,8864183,1473710,356,7218888,,,,232,0,172,
VIRGINIA,1238338,1010567,51675,74786,,,,24875,0,19121,
WASHINGTON,23263020,18508974,2453152,222230,,,,572308,721,547515,
WEST VIRGINIA,36383,31696,81,0,,,,0,0,0,
WISCONSIN,1160203,615422,49766,387854,,,,65,3974,1880,
Others,285702,219707,14528,2906,,,,6460,0,4270,
Total,627119722,501285537,51969300,18298457,,,,25911444,1436514,21777125,
