bulk_wine_gallons_by_state,special_natural_wines_other_production,special_natural_wines_other_production_taxable_withdrawals,special_natural_wines_other_production_stocks_end_of_month,effervescent_wines_production,effervescent_wines_taxable_withdrawals_artificially_carbonated_wines,effervescent_wines_taxable_withdrawals_naturally_carbonated_wines,effervescent_wines_taxable_withdrawals_stocks_end_of_month
CALIFORNIA,27936177,27381849,,25428751,0,195779,
MICHIGAN,69441,46450,,81048,0,0,
MISSOURI,2330,1483,,8746,0,0,
NEW JERSEY,4221,4521,,19781,0,0,
NEW MEXICO,0,0,,350246,0,0,
NEW YORK,29843,26472,,1246949,0,0,
NORTH CAROLINA,18,16,,7292,0,0,
OHIO,303373,324181,,453,0,0,
OREGON,8530,395,,5342,0,2137,
PENNSYLVANIA,1221,695,,5332,0,42,
WASHINGTON,10885,10039,,557142,152,24,
WISCONSIN,0,0,,1103,0,0,
Others,38704,29116,,74056,2,31,
Total,28404743,27825217,,27786241,154,198013,
