"Bulk
Wine Gallons
By State",Still Wines Production,"Still Wines/Taxable Withdrawals/Not over
14 % Alcohol",Still Wines/Taxable Withdrawals/Over 14 % Alcohol,"Still Wines/Taxable Withdrawals/3/
Cider","Still Wines/Stocks End of Month/Not over
14 % Alcohol",Still Wines/Stocks End of Month/Over 14 % Alcohol,Still Wines/Stocks End of Month/Cider,Special Natural Wines/Vermouth/Production,"Special Natural Wines/Vermouth/Taxable
Withdrawals","Special Natural Wines/Vermouth/Stocks
End of Month"
ALABAMA,"32,264",0,0,0,,,,0,0,
ARIZONA,"145,117","1,460",203,0,,,,0,0,
ARKANSAS,"233,958",0,0,0,,,,0,0,
CALIFORNIA,"728,939,759","33,724,346","635,207","1,450",,,,"547,283","105,809",
COLORADO,"327,414",531,320,"1,257",,,,0,0,
CONNECTICUT,"124,086",202,0,0,,,,0,0,
FLORIDA,"2,026,230","24,701","18,160",0,,,,235,0,
GEORGIA,"132,606",0,0,0,,,,0,0,
IDAHO,"805,280","1,281",472,0,,,,0,0,
ILLINOIS,"399,157","2,535",0,0,,,,40,33,
INDIANA,"1,100,872","8,674",0,0,,,,0,0,
IOWA,"286,775",936,0,0,,,,0,0,
KANSAS,"49,986",0,0,0,,,,0,0,
KENTUCKY,"2,241,527","26,250",0,0,,,,0,0,
LOUISIANA,"25,189",0,0,0,,,,0,0,
MAINE,"52,544","1,597",0,0,,,,0,0,
MARYLAND,"337,226",84,316,0,,,,0,0,
MASSACHUSETTS,"300,907",464,0,0,,,,0,0,
MICHIGAN,"2,180,359","41,047",466,"13,716",,,,"3,188","2,934",
MINNESOTA,"186,545","4,979",0,0,,,,0,0,
MISSOURI,"1,250,654","1,125",0,0,,,,0,0,
MONTANA,"41,356",0,232,0,,,,0,0,
NEBRASKA,"122,094",0,0,0,,,,0,0,
NEW HAMPSHIRE,"95,565","2,592",0,0,,,,0,0,
NEW JERSEY,"1,329,932","5,458","21,302",0,,,,233,440,
NEW MEXICO,"503,708",555,0,0,,,,140,0,
NEW YORK,"27,150,759","184,739","16,977","204,019",,,,"473,306","445,639",
NORTH CAROLINA,"1,351,975","79,740",0,"3,029",,,,0,0,
OHIO,"3,277,838","39,638","17,035",0,,,,"1,238","3,011",
OKLAHOMA,"49,712",166,0,0,,,,0,0,
OREGON,"7,948,408","43,970","28,123","4,117",,,,0,0,
PENNSYLVANIA,"10,272,127","13,333","1,328",0,,,,0,0,
SOUTH CAROLINA,"32,764",0,0,0,,,,0,0,
SOUTH DAKOTA,"53,211",124,0,0,,,,0,0,
TENNESSEE,"1,144,283",0,0,0,,,,0,0,
TEXAS,"747,338","38,209",841,0,,,,0,0,
VERMONT,"4,315,420",25,0,0,,,,0,0,
VIRGINIA,"1,261,104","3,548",0,159,,,,0,0,
WASHINGTON,"34,144,441","236,472","21,832","7,592",,,,0,0,
WEST VIRGINIA,"32,478",710,0,0,,,,0,0,
WISCONSIN,"833,612",0,0,0,,,,0,0,
Others,"219,913","6,082",986,30,,,,0,0,
Total,"836,106,493","34,495,573","763,800","235,369",,,,"1,025,663","557,866",
