bulk_wine_gallons_by_state,still_wines_production,still_wines_taxable_withdrawals_not_over_14_alcohol,still_wines_taxable_withdrawals_over_14_alcohol,still_wines_taxable_withdrawals_3_cider,still_wines_stocks_end_of_month_not_over_14_alcohol,still_wines_stocks_end_of_month_over_14_alcohol,still_wines_stocks_end_of_month_cider,special_natural_wines_vermouth_production,special_natural_wines_vermouth_taxable_withdrawals,special_natural_wines_vermouth_stocks_end_of_month
ALABAMA,34878,0,0,0,,,,0,0,
ARIZONA,208844,1075,0,0,,,,166,422,
ARKANSAS,245172,3195,284,0,,,,0,0,
CALIFORNIA,709647220,35731236,748045,46698,,,,627425,106995,
COLORADO,368890,0,0,7151,,,,0,0,
CONNECTICUT,147516,5351,35,0,,,,0,0,
FLORIDA,1897279,31230,14655,0,,,,6409,0,
GEORGIA,208025,1971,1708,0,,,,0,0,
IDAHO,883238,828,498,161,,,,0,0,
ILLINOIS,373089,7219,0,326,,,,0,0,
INDIANA,1119458,18406,101,0,,,,0,0,
IOWA,252864,847,210,0,,,,0,0,
KANSAS,72301,1712,0,0,,,,0,0,
KENTUCKY,1666152,30637,236,238,,,,0,43,
LOUISIANA,31592,0,0,0,,,,0,0,
MAINE,65203,0,0,0,,,,0,0,
MARYLAND,417027,2419,34,0,,,,0,0,
MASSACHUSETTS,413729,1112,0,539,,,,0,0,
MICHIGAN,1752699,16587,14,48253,,,,3241,2234,
MINNESOTA,185225,6845,0,113,,,,0,0,
MISSOURI,1004372,2892,35,0,,,,0,0,
MONTANA,25663,1200,0,0,,,,55,0,
NEBRASKA,80857,3396,50,0,,,,0,0,
NEW HAMPSHIRE,121325,2537,0,491,,,,0,0,
NEW JERSEY,1448259,8617,16150,0,,,,674,554,
NEW MEXICO,1009358,1565,0,0,,,,140,0,
NEW YORK,34616418,377182,33228,321835,,,,468453,416833,
NORTH CAROLINA,1376826,5050,0,12224,,,,0,0,
OHIO,4487434,16752,0,593,,,,2575,3740,
OKLAHOMA,65706,105,0,0,,,,0,0,
OREGON,11698997,32829,21030,5724,,,,0,0,
PENNSYLVANIA,15479868,13403,1303,149,,,,0,0,
SOUTH CAROLINA,21015,0,0,0,,,,0,0,
SOUTH DAKOTA,86225,39,0,0,,,,0,0,
TENNESSEE,2340348,0,0,0,,,,0,0,
TEXAS,995798,143520,714,8868,,,,0,0,
VERMONT,3808701,4552,0,0,,,,0,0,
VIRGINIA,1659365,2521,15,2328,,,,0,0,
WASHINGTON,34011480,81627,51214,62410,,,,0,653,
WEST VIRGINIA,26608,1153,0,0,,,,0,0,
WISCONSIN,858930,7451,25,6,,,,0,0,
Others,254689,10792,1149,297,,,,0,0,
Total,835468643,36577853,890733,518404,,,,1109138,531474,
