bulk_wine_gallons_by_state,special_natural_wines_other_production,special_natural_wines_other_taxable_withdrawals,special_natural_wines_other_stocks_end_of_month,effervescent_wines_production,effervescent_wines_taxable_withdrawals_artificially_carbonated_wines,effervescent_wines_taxable_withdrawals_naturally_carbonated_wines,effervescent_wines_stocks_end_of_month
CALIFORNIA,24268147,27121294,,26647879,0,16844,
MICHIGAN,84798,43395,,92519,0,1284,
MISSOURI,21,41,,11831,0,0,
NEW JERSEY,10467,5584,,24442,0,0,
NEW MEXICO,2704,0,,375811,0,0,
NEW YORK,31213,29934,,2212257,70,0,
NORTH CAROLINA,0,0,,6790,0,0,
OHIO,481546,527855,,1010,0,0,
OREGON,11315,269,,67798,82,417,
PENNSYLVANIA,1183,244,,7629,0,0,
WASHINGTON,12775,8234,,483473,186,0,
WISCONSIN,8740,0,,2256,0,0,
Others,53606,41412,,69537,682,587,
Total,24966515,27778262,,30003232,1020,19132,
