bulk_wine_gallons_by_state,still_wines_production,still_wines_taxable_withdrawals_not_over_14_alcohol,still_wines_taxable_withdrawals_over_14_alcohol,still_wines_production_taxable_withdrawals_3_cider,still_wines_stocks_end_of_month_not_over_14_alcohol,still_wines_stocks_end_of_month_over_14_alcohol,still_wines_stocks_end_of_month_cider,special_natural_wines_vermouth_production,special_natural_wines_vermouth_taxable_withdrawals,special_natural_wines_vermouth_stocks_end_of_month
ALABAMA,42656,114,0,0,,,,0,0,
ARIZONA,198746,1070,265,0,,,,5050,2133,
ARKANSAS,203701,646,18,0,,,,0,0,
CALIFORNIA,638173762,27534459,914125,6307,,,,844056,158470,
COLORADO,449679,17,0,10481,,,,0,0,
CONNECTICUT,168896,5018,0,0,,,,0,0,
FLORIDA,1838211,55443,14520,0,,,,7194,0,
GEORGIA,222351,5209,2420,4423,,,,0,0,
IDAHO,576645,4346,1536,10214,,,,0,0,
ILLINOIS,361234,58026,0,4780,,,,0,0,
INDIANA,1160119,1864,91,100,,,,0,0,
IOWA,253137,205,312,0,,,,0,0,
KANSAS,85038,3347,58,275,,,,0,0,
KENTUCKY,1643376,18222,1098844,165,,,,0,0,
LOUISIANA,30763,0,0,0,,,,0,0,
MAINE,81203,275,0,0,,,,664,533,
MARYLAND,476421,9301,160,0,,,,0,50,
MASSACHUSETTS,697196,583,0,47,,,,0,0,
MICHIGAN,2064168,17152,118,39969,,,,3252,2107,
MINNESOTA,370093,15514,0,0,,,,4768,4768,
MISSOURI,1134126,3266,0,0,,,,0,0,
MONTANA,38741,0,0,0,,,,0,0,
NEBRASKA,90261,1109,3,0,,,,0,0,
NEW HAMPSHIRE,136270,2730,631,11421,,,,0,0,
NEW JERSEY,1492655,3118,17075,0,,,,2030,692,
NEW MEXICO,737645,7740,90,3814,,,,0,0,
NEW YORK,30707698,337009,33259,133657,,,,406181,415130,
NORTH CAROLINA,1538218,554,9,22036,,,,0,0,
OHIO,5716702,9376,0,512,,,,3301,1810,
OKLAHOMA,69309,280,0,0,,,,0,0,
OREGON,13379563,124352,33361,98354,,,,0,0,
PENNSYLVANIA,15513532,12294,1850,30,,,,0,0,
SOUTH CAROLINA,28931,0,0,0,,,,0,0,
SOUTH DAKOTA,85720,40,0,501,,,,0,0,
TENNESSEE,1646831,4445,0,0,,,,0,0,
TEXAS,1424362,44095,57,13,,,,0,0,
VERMONT,3255902,6816,0,0,,,,0,0,
VIRGINIA,1962099,3731,169,6553,,,,0,0,
WASHINGTON,38730324,47171,23534,86684,,,,3566,3400,
WEST VIRGINIA,24214,1686,0,0,,,,0,0,
WISCONSIN,1019377,721,25,3700,,,,0,0,
Others,258901,7469,1395,340,,,,0,0,
Total,768088776,28348813,2143925,444376,,,,1280062,589093,
