,product_name,price,varietal,rating,rating_count,appellation,region,year
0,Dom Perignon Vintage with Gift Box,199,Vintage Sparkling Wine,4.5,42.0,['Champagne'], France,2010
2,Duckhorn Napa Valley Cabernet Sauvignon,78,Cabernet Sauvignon,4.3,62.0,['Napa Valley'], California,2017
3,Caymus Special Selection Cabernet Sauvignon,180,Cabernet Sauvignon,4.6,108.0,['Napa Valley'], California,2016
4,Quintessa,199,Cabernet Sauvignon,4.7,73.0,[' Napa Valley'], California,2016
5,Joseph Phelps Insignia,300,Bordeaux Red Blends,4.6,81.0,['Napa Valley'], California,2016
6,Opus One,364,Bordeaux Red Blends,4.2,8.0,[' Napa Valley'], California,2017
7,Trefethen Cabernet Sauvignon,65,Cabernet Sauvignon,4.3,65.0,[' Napa Valley'], California,2017
8,Dom Perignon Vintage,189,Vintage Sparkling Wine,4.8,10.0,['Champagne'], France,2010
9,Antinori Tignanello,129,Tuscan Blends,4.9,45.0,['Tuscany'], Italy,2017
10,Robert Mondavi To Kalon Vineyard Reserve Cabernet Sauvignon,175,Cabernet Sauvignon,4.2,50.0,[' Napa Valley'], California,2016
12,Mazzei Chianti Classico Riserva Ser Lapo,37,Sangiovese,4.0,672.0,[' Tuscany'], Italy,2016
13,Veuve Clicquot La Grande Dame with Gift Box,189,Vintage Sparkling Wine,4.6,31.0,['Champagne'], France,2008
14,Ulysses Cabernet Sauvignon,219,Cabernet Sauvignon,0.0,0.0,['Napa Valley'], California,2016
15,Stags' Leap Winery The Leap Estate Grown Cabernet Sauvignon,110,Cabernet Sauvignon,4.4,34.0,[' Napa Valley'], California,2016
16,Beringer Private Reserve Cabernet Sauvignon,170,Cabernet Sauvignon,4.5,41.0,['Napa Valley'], California,2015
18,The Prisoner Wine Company Cuttings,55,Cabernet Sauvignon,4.4,308.0,['Napa Valley'], California,2017
19,Dominus Estate,299,Bordeaux Red Blends,4.4,77.0,[' Napa Valley'], California,2016
20,Bella Union by Far Niente Cabernet Sauvignon,80,Cabernet Sauvignon,4.3,156.0,['Napa Valley'], California,2017
21,Taittinger Comtes de Champagne Blanc de Blancs,209,Vintage Sparkling Wine,0.0,0.0,['Champagne'], France,2008
22,Shafer Hillside Select Cabernet Sauvignon,310,Cabernet Sauvignon,4.7,23.0,[' Napa Valley'], California,2015
23,Chateau Pontet-Canet,169,Bordeaux Red Blends,4.3,32.0,[' Bordeaux'], France,2016
24,Louis Roederer Cristal Brut with Gift Box,289,Vintage Sparkling Wine,4.9,16.0,['Champagne'], France,2012
25,Cristom Mt. Jefferson Cuvee Pinot Noir,32,Pinot Noir,4.1,97.0,[' Willamette Valley'], Oregon,2018
26,Argiano Brunello di Montalcino,75,Sangiovese,4.3,169.0,[' Tuscany'], Italy,2015
27,G.D. Vajra Barolo Albe,40,Nebbiolo,4.1,49.0,[' Piedmont'], Italy,2016
28,Heitz Cellar Napa Valley Cabernet Sauvignon,57,Cabernet Sauvignon,4.1,64.0,['Napa Valley'], California,2015
29,Trefethen Estate Chardonnay,38,Chardonnay,4.0,82.0,[' Napa Valley'], California,2018
30,Hall Coeur Cabernet Sauvignon,70,Cabernet Sauvignon,4.4,26.0,[' Napa Valley'], California,2016
31,Freemark Abbey Napa Valley Cabernet Sauvignon,60,Cabernet Sauvignon,4.2,188.0,['Napa Valley'], California,2016
32,Domaine de la Janasse Chateauneuf-du-Pape Vieilles Vignes,118,Rhone Red Blends,4.0,14.0,[' Rhone'], France,2017
