,product_name,price,varietal,origin,rating,rating_count
0,Dom Perignon Vintage with Gift Box 2010,199,Vintage Sparkling Wine,"Champagne, France",4.5,42
1,Veuve Clicquot Yellow Label Brut,59,Non-Vintage Sparkling Wine,"Champagne, France",4.4,1138
2,Duckhorn Napa Valley Cabernet Sauvignon 2017,78,Cabernet Sauvignon,"Napa Valley, California",4.3,62
3,Caymus Special Selection Cabernet Sauvignon 2016,180,Cabernet Sauvignon,"Napa Valley, California",4.6,108
4,Quintessa 2016,199,Cabernet Sauvignon,"Rutherford, Napa Valley, California",4.7,73
5,Joseph Phelps Insignia 2016,300,Bordeaux Red Blends,"Napa Valley, California",4.6,81
6,Opus One 2017,364,Bordeaux Red Blends,"Oakville, Napa Valley, California",4.2,8
7,Trefethen Cabernet Sauvignon 2017,65,Cabernet Sauvignon,"Oak Knoll District, Napa Valley, California",4.3,65
8,Dom Perignon Vintage 2010,189,Vintage Sparkling Wine,"Champagne, France",4.8,10
9,Antinori Tignanello 2017,129,Tuscan Blends,"Tuscany, Italy",4.9,45
10,Robert Mondavi To Kalon Vineyard Reserve Cabernet Sauvignon 2016,175,Cabernet Sauvignon,"Oakville, Napa Valley, California",4.2,50
11,Bollinger Brut Special Cuvee,79,Non-Vintage Sparkling Wine,"Champagne, France",4.3,394
12,Mazzei Chianti Classico Riserva Ser Lapo 2016,37,Sangiovese,"Chianti Classico, Chianti, Tuscany, Italy",4.0,672
13,Veuve Clicquot La Grande Dame with Gift Box 2008,189,Vintage Sparkling Wine,"Champagne, France",4.6,31
14,Ulysses Cabernet Sauvignon 2016,219,Cabernet Sauvignon,"Napa Valley, California",0.0,0
15,Stags' Leap Winery The Leap Estate Grown Cabernet Sauvignon 2016,110,Cabernet Sauvignon,"Stags Leap District, Napa Valley, California",4.4,34
16,Beringer Private Reserve Cabernet Sauvignon 2015,170,Cabernet Sauvignon,"Napa Valley, California",4.5,41
17,Laurent-Perrier Cuvee Rose,100,Rosé Sparkling Wine,"Champagne, France",4.6,306
18,The Prisoner Wine Company Cuttings 2017,55,Cabernet Sauvignon,"Napa Valley, California",4.4,308
19,Dominus Estate 2016,299,Bordeaux Red Blends,"Yountville, Napa Valley, California",4.4,77
20,Bella Union by Far Niente Cabernet Sauvignon 2017,80,Cabernet Sauvignon,"Napa Valley, California",4.3,156
21,Taittinger Comtes de Champagne Blanc de Blancs 2008,209,Vintage Sparkling Wine,"Champagne, France",0.0,0
22,Shafer Hillside Select Cabernet Sauvignon 2015,310,Cabernet Sauvignon,"Stags Leap District, Napa Valley, California",4.7,23
23,Chateau Pontet-Canet 2016,169,Bordeaux Red Blends,"Pauillac, Bordeaux, France",4.3,32
24,Louis Roederer Cristal Brut with Gift Box 2012,289,Vintage Sparkling Wine,"Champagne, France",4.9,16
25,Cristom Mt. Jefferson Cuvee Pinot Noir 2018,32,Pinot Noir,"Eola-Amity Hills, Willamette Valley, Oregon",4.1,97
26,Argiano Brunello di Montalcino 2015,75,Sangiovese,"Montalcino, Tuscany, Italy",4.3,169
27,G.D. Vajra Barolo Albe 2016,40,Nebbiolo,"Barolo, Piedmont, Italy",4.1,49
28,Heitz Cellar Napa Valley Cabernet Sauvignon 2015,57,Cabernet Sauvignon,"Napa Valley, California",4.1,64
29,Trefethen Estate Chardonnay 2018,38,Chardonnay,"Oak Knoll District, Napa Valley, California",4.0,82
30,Hall Coeur Cabernet Sauvignon 2016,70,Cabernet Sauvignon,"St. Helena, Napa Valley, California",4.4,26
31,Freemark Abbey Napa Valley Cabernet Sauvignon 2016,60,Cabernet Sauvignon,"Napa Valley, California",4.2,188
32,Domaine de la Janasse Chateauneuf-du-Pape Vieilles Vignes 2017,118,Rhone Red Blends,"Chateauneuf-du-Pape, Rhone, France",4.0,14
33,Austin Hope Cabernet Sauvignon 2018,54,Cabernet Sauvignon,"Paso Robles, Central Coast, California",4.5,206
34,Produttori del Barbaresco Barbaresco 2016,44,Nebbiolo,"Barbaresco, Piedmont, Italy",4.3,238
35,Castellani Sangiovese 2016,14,Sangiovese,"Tuscany, Italy",4.0,169
36,Mayacamas Cabernet Sauvignon 2014,124,Cabernet Sauvignon,"Mt. Veeder, Napa Valley, California",4.1,67
37,Louis Roederer Brut Premier,54,Non-Vintage Sparkling Wine,"Champagne, France",4.3,169
38,Chateau Rauzan-Segla 2010,159,Bordeaux Red Blends,"Margaux, Bordeaux, France",4.5,13
39,Parducci True Grit Reserve Petite Sirah 2018,30,Petite Sirah,"Mendocino, California",4.1,33
40,Far Niente Napa Valley Cabernet Sauvignon 2018,150,Cabernet Sauvignon,"Napa Valley, California",0.0,0
41,Martin Ray Sonoma Coast Pinot Noir 2018,28,Pinot Noir,"Sonoma Coast, Sonoma County, California",3.8,663
42,Louis Latour Chateau Corton Grancey Grand Cru 2016,200,Pinot Noir,"Aloxe-Corton, Cote de Beaune, Cote d'Or, Burgundy, France",0.0,0
43,Pio Cesare Barolo 2016,82,Nebbiolo,"Barolo, Piedmont, Italy",0.0,0
44,La Rasina Brunello di Montalcino 2015,58,Sangiovese,"Montalcino, Tuscany, Italy",4.5,41
45,Clarendon Hills Astralis Syrah 2011,200,Syrah/Shiraz,"McLaren Vale, South Australia, Australia",4.2,33
46,El Enemigo Chardonnay 2018,24,Chardonnay,"Mendoza, Argentina",4.1,52
47,Chateau Pontet-Canet 2010,289,Bordeaux Red Blends,"Pauillac, Bordeaux, France",4.4,51
48,Faust Cabernet Sauvignon 2018,55,Cabernet Sauvignon,"Napa Valley, California",3.9,7
49,Opus One 2007,449,Bordeaux Red Blends,"Oakville, Napa Valley, California",4.7,16
50,Dom Perignon Vintage with Gift Box 2010,199,Vintage Sparkling Wine,"Champagne, France",4.5,42
51,Veuve Clicquot Yellow Label Brut,59,Non-Vintage Sparkling Wine,"Champagne, France",4.4,1138
52,Duckhorn Napa Valley Cabernet Sauvignon 2017,78,Cabernet Sauvignon,"Napa Valley, California",4.3,62
